Format Version,1.23,Take Name,Take 2023-12-04 05.02.12 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-04 05.02.12.855 PM,Capture Start Frame,445223,Total Frames in Take,7636,Total Exported Frames,7636,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022
,ID,"C3500","C3500","C3500","C3510","C3510","C3510","C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3660","C3660","C3660","C3670","C3670","C3670"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.553961,0.366389,1.497933,-0.550940,0.379267,-0.372745,-0.550406,0.380325,-0.422458,-0.549332,0.381442,-0.482321,-0.546303,0.382829,-0.591367,-0.548167,0.381358,-0.542610,-0.521282,0.371580,1.258525,-0.474572,0.365676,1.495590,-0.310069,0.382060,-0.478187,1.095141,0.351338,1.302424,1.166182,0.360759,-0.687415,1.235608,0.359762,-0.682738,1.261114,0.360378,-0.441777,1.315269,0.358329,-0.678026,1.331261,0.342877,1.421975,1.335071,0.344450,1.312626,1.338741,0.344968,1.202681,1.385476,0.356504,-0.674271,,,,,,,,,,,,,,,
1,0.010000,-0.553967,0.366380,1.497952,-0.550977,0.379318,-0.372742,-0.550400,0.380348,-0.422449,-0.549321,0.381440,-0.482330,-0.546267,0.382855,-0.591371,-0.548169,0.381380,-0.542596,-0.521277,0.371610,1.258515,-0.474599,0.365693,1.495602,-0.310040,0.382045,-0.478196,1.095011,0.351434,1.302346,1.166195,0.360772,-0.687407,1.235258,0.359547,-0.683130,1.260891,0.360338,-0.442005,1.315284,0.358349,-0.678033,1.331258,0.342872,1.421954,1.335072,0.344488,1.312636,1.338777,0.344960,1.202662,1.385464,0.356505,-0.674272,,,,,,,,,,,,,,,
2,0.020000,-0.553973,0.366392,1.497934,-0.550985,0.379310,-0.372742,-0.550397,0.380332,-0.422463,-0.549311,0.381465,-0.482328,-0.546290,0.382850,-0.591369,-0.548177,0.381369,-0.542595,-0.521268,0.371599,1.258529,-0.474578,0.365686,1.495595,-0.310052,0.382054,-0.478187,1.095210,0.351321,1.302430,1.166194,0.360760,-0.687412,1.235245,0.359519,-0.683135,1.260886,0.360336,-0.442011,1.315274,0.358345,-0.678009,1.331264,0.342855,1.421949,1.335083,0.344478,1.312630,1.338758,0.344965,1.202688,1.385483,0.356506,-0.674277,,,,,,,,,,,,,,,
3,0.030000,-0.553989,0.366380,1.497927,-0.550964,0.379286,-0.372743,-0.550410,0.380332,-0.422469,-0.549296,0.381440,-0.482332,-0.546268,0.382836,-0.591387,-0.548181,0.381358,-0.542599,-0.521262,0.371592,1.258516,-0.474582,0.365683,1.495577,-0.310061,0.382054,-0.478191,1.095128,0.351347,1.302404,1.166194,0.360745,-0.687409,1.235249,0.359525,-0.683142,1.260911,0.360316,-0.442007,1.315288,0.358344,-0.678029,1.331277,0.342874,1.421980,1.335086,0.344480,1.312634,1.338781,0.344954,1.202673,1.385478,0.356520,-0.674297,,,,,,,,,,,,,,,
4,0.040000,-0.553975,0.366392,1.497936,-0.550967,0.379314,-0.372742,-0.550409,0.380327,-0.422450,-0.549325,0.381475,-0.482320,-0.546262,0.382864,-0.591360,-0.548181,0.381380,-0.542606,-0.521267,0.371609,1.258521,-0.474595,0.365692,1.495575,-0.310048,0.382055,-0.478187,1.095222,0.351289,1.302427,1.166216,0.360788,-0.687414,1.235621,0.359745,-0.682740,1.260889,0.360324,-0.442020,1.315287,0.358331,-0.678029,1.331273,0.342858,1.421958,1.335076,0.344458,1.312633,1.338768,0.344954,1.202672,1.385481,0.356509,-0.674271,,,,,,,,,,,,,,,
5,0.050000,-0.553974,0.366402,1.497928,-0.550931,0.379287,-0.372754,-0.550391,0.380320,-0.422462,-0.549311,0.381464,-0.482319,-0.546365,0.382799,-0.591381,-0.548156,0.381381,-0.542589,-0.521271,0.371608,1.258527,-0.474595,0.365702,1.495582,-0.310051,0.382062,-0.478180,1.095127,0.351376,1.302368,1.166185,0.360740,-0.687409,1.235615,0.359746,-0.682743,1.260891,0.360341,-0.442004,1.315286,0.358331,-0.678043,1.331277,0.342871,1.421962,1.335082,0.344469,1.312626,1.338770,0.344983,1.202680,1.385469,0.356483,-0.674264,,,,,,,,,,,,,,,
