Format Version,1.23,Take Name,Take 2024-01-17 05.50.54 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.50.54.543 PM,Capture Start Frame,13621912,Total Frames in Take,6077,Total Exported Frames,6077,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033
,ID,"C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3670","C3670","C3670","C3690","C3690","C3690","C36A0","C36A0","C36A0","C36B0","C36B0","C36B0","C36C0","C36C0","C36C0","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C3660","C3660","C3660","C36F0","C36F0","C36F0","C3700","C3700","C3700","C3720","C3720","C3720","C3730","C3730","C3730","C3710","C3710","C3710","C3750","C3750","C3750","C3760","C3760","C3760"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.553254,0.369062,-0.699902,-1.510931,0.361632,-0.963472,-1.445780,0.363723,-0.916316,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308841,0.324029,0.909675,-0.266381,0.324264,0.868193,-0.189929,0.325779,1.124432,-0.134821,0.360525,-0.308749,-0.000613,0.361506,-0.512764,0.069479,0.359555,-0.440767,0.520927,0.334393,0.415911,0.611007,0.331162,0.494241,0.698742,0.324756,0.571030,0.767573,0.337883,0.314598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-1.553304,0.369103,-0.699852,-1.510959,0.361556,-0.963572,-1.449402,0.364951,-0.918560,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396673,0.319508,0.986984,-0.352987,0.322671,0.950353,-0.308681,0.324264,0.909572,-0.266381,0.324264,0.868193,-0.190199,0.325513,1.120679,-0.136343,0.359347,-0.306700,-0.001259,0.361240,-0.510838,0.068050,0.358693,-0.439809,0.520171,0.334356,0.415043,0.610540,0.331418,0.493051,0.699509,0.328689,0.571963,0.766704,0.338185,0.313738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-1.553270,0.368975,-0.699963,-1.510959,0.361556,-0.963572,-1.446822,0.362692,-0.919385,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439872,0.318043,1.028527,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308837,0.324027,0.909679,-0.264964,0.325074,0.868603,-0.190059,0.325694,1.124636,-0.136388,0.358890,-0.304850,-0.002641,0.362093,-0.510799,0.067719,0.358619,-0.437307,0.519017,0.334071,0.413724,0.609135,0.331149,0.492324,0.697532,0.326141,0.569671,0.765911,0.338125,0.313004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-1.553270,0.368975,-0.699963,-1.511083,0.361522,-0.963532,-1.446823,0.362829,-0.919449,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308858,0.324199,0.909683,-0.265361,0.324722,0.868437,-0.190103,0.325677,1.124566,-0.136832,0.358272,-0.303036,-0.001651,0.360269,-0.506816,0.067499,0.358515,-0.435416,0.518002,0.334299,0.413130,0.608205,0.330080,0.490653,0.696217,0.325973,0.570178,0.764461,0.336800,0.312668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-1.553254,0.369062,-0.699902,-1.510810,0.361663,-0.963512,-1.446823,0.362829,-0.919449,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439524,0.317888,1.028496,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.309041,0.324027,0.909844,-0.265946,0.324654,0.868425,-0.190103,0.325677,1.124566,-0.138905,0.360037,-0.303355,-0.003014,0.360279,-0.506285,0.066818,0.358501,-0.433362,0.517115,0.334573,0.412764,0.607308,0.330527,0.490217,0.695270,0.325557,0.569288,0.764052,0.337066,0.312113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-1.553254,0.369062,-0.699902,-1.510959,0.361556,-0.963572,-1.446944,0.363058,-0.919379,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.396951,0.319414,0.987023,-0.352742,0.322791,0.950448,-0.309041,0.324027,0.909844,-0.265356,0.324772,0.868513,-0.190059,0.325694,1.124636,-0.137786,0.361031,-0.298982,-0.004129,0.360600,-0.502757,0.065588,0.357655,-0.432524,0.515373,0.332610,0.409996,0.606014,0.331641,0.490765,0.694533,0.325991,0.568867,0.763735,0.338224,0.311648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
