Format Version,1.23,Take Name,Take 2024-01-17 05.58.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.58.09.758 PM,Capture Start Frame,13665436,Total Frames in Take,4627,Total Exported Frames,4627,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028
,ID,"C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C3620","C3620","C3620","C3630","C3630","C3630","C3650","C3650","C3650","C36D0","C36D0","C36D0","C3840","C3840","C3840","C3880","C3880","C3880","C38A0","C38A0","C38A0","C38B0","C38B0","C38B0","C38C0","C38C0","C38C0","C38D0","C38D0","C38D0","C3890","C3890","C3890","C38E0","C38E0","C38E0","C38F0","C38F0","C38F0","C3900","C3900","C3900","C3920","C3920","C3920","C3930","C3930","C3930","C3910","C3910","C3910","C3940","C3940","C3940"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.098526,0.324182,0.988181,-1.038621,0.323806,0.984557,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.663751,0.350762,-0.319651,-0.920537,0.322779,0.975451,-0.583968,0.349149,-0.323327,-0.859701,0.320551,0.973101,-0.559341,0.363915,-0.563869,-0.505129,0.345847,-0.329583,-0.425767,0.344362,-0.333415,0.503589,0.347959,-0.098808,0.536182,0.354661,-0.340282,0.602902,0.347313,-0.105248,1.015654,0.329901,0.497042,1.133252,0.324680,0.737676,1.014106,0.326212,0.735334,0.893520,0.324870,0.734033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-1.098526,0.324182,0.988181,-1.038420,0.323850,0.984572,-0.995021,0.336492,0.743342,-0.978955,0.322564,0.980492,-0.663152,0.350542,-0.316697,-0.920537,0.322779,0.975451,-0.583099,0.349147,-0.321441,-0.861017,0.321540,0.971880,-0.558150,0.363756,-0.562976,-0.504101,0.345426,-0.326990,-0.425304,0.344366,-0.331131,0.503938,0.348139,-0.098783,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.017128,0.333340,0.497590,1.132958,0.324497,0.737777,1.013718,0.325904,0.735961,0.893244,0.324783,0.734695,0.666813,0.536592,0.648620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-1.098416,0.324133,0.988239,-1.038535,0.324411,0.985764,-0.995021,0.336492,0.743342,-0.978955,0.322564,0.980492,-0.662740,0.351854,-0.315087,-0.920537,0.322779,0.975451,-0.582722,0.348255,-0.319580,-0.859634,0.320682,0.973054,-0.558577,0.363778,-0.562970,-0.503785,0.345595,-0.324610,-0.424638,0.343464,-0.332002,0.504066,0.348193,-0.098685,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.015387,0.330643,0.496625,1.132892,0.324727,0.738076,1.013600,0.325865,0.736763,0.892892,0.324391,0.734299,0.666813,0.536592,0.648620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-1.098416,0.324133,0.988239,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.978955,0.322564,0.980492,-0.663074,0.350370,-0.315635,-0.920392,0.323672,0.978061,-0.583203,0.348216,-0.318641,-0.859634,0.320682,0.973054,-0.558933,0.363371,-0.561710,-0.503857,0.345580,-0.322987,-0.424478,0.343115,-0.330128,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.015676,0.332953,0.498763,1.132669,0.324299,0.738497,1.013246,0.325488,0.737532,0.893500,0.323756,0.735405,0.665463,0.536713,0.648948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-1.098459,0.324233,0.988175,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979006,0.322528,0.980412,-0.663110,0.349804,-0.313843,-0.918835,0.321064,0.977068,-0.583333,0.349121,-0.317242,-0.859838,0.320874,0.972732,-0.559342,0.363934,-0.560406,-0.503901,0.345277,-0.321662,-0.424622,0.344412,-0.327127,0.502264,0.345828,-0.100547,0.536252,0.354764,-0.340356,0.602882,0.347141,-0.105321,1.013079,0.329865,0.498161,1.132626,0.325426,0.739232,1.013375,0.326011,0.738182,0.893301,0.323889,0.736242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-1.097493,0.323816,0.988939,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979250,0.323337,0.980334,-0.662946,0.351446,-0.310746,-0.918835,0.321064,0.977068,-0.582914,0.348178,-0.316346,-0.859838,0.320874,0.972732,-0.560008,0.364287,-0.556554,-0.503401,0.345815,-0.320905,-0.424788,0.343814,-0.326427,0.502264,0.345828,-0.100547,0.536144,0.354691,-0.340309,0.602882,0.347141,-0.105321,1.012501,0.329703,0.498917,1.131922,0.325180,0.740429,,,,0.892848,0.324007,0.737334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.060000,-1.097493,0.323816,0.988939,-1.038268,0.324271,0.984757,-0.995021,0.336492,0.743342,-0.979250,0.323337,0.980334,-0.663174,0.350574,-0.311196,-0.920282,0.322721,0.975244,-0.583096,0.348178,-0.314425,-0.859634,0.320682,0.973054,-0.559529,0.364288,-0.555218,-0.503569,0.345859,-0.319037,-0.425082,0.344006,-0.325636,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.013092,0.331206,0.499189,1.131226,0.324636,0.741379,1.011514,0.325267,0.740247,0.891242,0.323434,0.737915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-1.098219,0.324275,0.988247,-1.038263,0.324075,0.983942,-0.995021,0.336492,0.743342,-0.978734,0.322714,0.980548,-0.663367,0.350185,-0.307568,-0.920264,0.322686,0.975173,-0.582797,0.348840,-0.312881,-0.859634,0.320682,0.973054,-0.559443,0.364757,-0.553949,-0.503529,0.344511,-0.319505,-0.425557,0.343763,-0.324856,0.503807,0.347994,-0.098680,0.536252,0.354764,-0.340356,0.602882,0.347141,-0.105321,1.011326,0.329816,0.502633,1.130019,0.324916,0.742148,1.010291,0.325727,0.741168,0.890169,0.323989,0.738416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-1.097487,0.323836,0.989059,-1.038263,0.324075,0.983942,-0.995021,0.336492,0.743342,-0.979443,0.323181,0.980323,-0.663263,0.350149,-0.306737,-0.918835,0.321064,0.977068,-0.583480,0.348596,-0.314247,-0.859099,0.320475,0.973277,-0.559078,0.364116,-0.552019,-0.504323,0.344833,-0.317563,-0.424728,0.344648,-0.322092,0.504066,0.348193,-0.098685,0.536195,0.354652,-0.340323,0.602882,0.347141,-0.105321,1.011577,0.330720,0.501956,1.128449,0.324619,0.744120,1.009607,0.326295,0.741807,0.890021,0.325282,0.738273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-1.098245,0.324261,0.988306,-1.038263,0.324075,0.983942,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662995,0.350517,-0.304978,-0.920100,0.323806,0.977874,-0.583931,0.348999,-0.312597,-0.859838,0.320874,0.972732,-0.559733,0.363770,-0.550966,-0.504379,0.344674,-0.315576,-0.425398,0.344642,-0.320361,0.504066,0.348193,-0.098685,0.536252,0.354764,-0.340356,0.602902,0.347313,-0.105248,1.011382,0.330599,0.503337,1.127723,0.325032,0.745298,1.007863,0.325480,0.743117,0.887616,0.324102,0.739056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-1.098404,0.324159,0.988348,-1.038168,0.323668,0.984861,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.663642,0.350052,-0.306318,-0.919850,0.322004,0.976852,-0.584573,0.347609,-0.309107,-0.861902,0.322528,0.972420,-0.560169,0.363427,-0.549980,-0.504437,0.345910,-0.313165,-0.425939,0.343928,-0.320312,0.504066,0.348193,-0.098685,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.010441,0.331014,0.504024,1.125922,0.324559,0.746699,1.006825,0.326180,0.744220,0.886796,0.324323,0.740196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-1.098404,0.324159,0.988348,-1.038168,0.323668,0.984861,-0.995021,0.336492,0.743342,-0.978955,0.322564,0.980492,-0.663479,0.350743,-0.302891,-0.920537,0.322779,0.975451,-0.583979,0.348264,-0.307885,-0.859634,0.320682,0.973054,-0.559013,0.363232,-0.550744,-0.504620,0.344934,-0.313057,-0.425529,0.344317,-0.317549,0.503807,0.347994,-0.098680,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.009267,0.330505,0.505261,1.125016,0.324665,0.748091,1.005773,0.326077,0.745597,0.885235,0.323886,0.741401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-1.098404,0.324159,0.988348,-1.038374,0.324197,0.984854,-0.995021,0.336492,0.743342,-0.978955,0.322564,0.980492,-0.663996,0.350429,-0.301357,-0.919726,0.322214,0.976507,-0.582755,0.348290,-0.306227,-0.861017,0.321540,0.971880,-0.558656,0.363360,-0.549364,-0.503745,0.345981,-0.311058,-0.425264,0.344382,-0.315562,0.504066,0.348193,-0.098685,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.007267,0.330044,0.506855,1.124391,0.324697,0.749596,1.004930,0.325564,0.747158,0.883848,0.323874,0.743501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-1.098487,0.324218,0.988235,-1.038237,0.323626,0.984909,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662923,0.350463,-0.300352,-0.920392,0.323672,0.978061,-0.582448,0.349442,-0.305058,-0.859634,0.320682,0.973054,-0.557934,0.363840,-0.545903,-0.504271,0.345349,-0.309854,-0.424304,0.342537,-0.315701,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.007760,0.333039,0.510272,1.123474,0.324116,0.750678,1.004305,0.325491,0.748850,0.883308,0.323215,0.744529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-1.098526,0.324182,0.988181,-1.038374,0.324197,0.984854,-0.995023,0.336555,0.743428,-0.979124,0.322757,0.980451,-0.661737,0.349061,-0.298690,-0.920537,0.322779,0.975451,-0.583100,0.347679,-0.303929,-0.859634,0.320682,0.973054,-0.557728,0.363615,-0.545242,-0.503011,0.345801,-0.308403,-0.424086,0.342533,-0.315087,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.006098,0.332994,0.512135,1.123465,0.325062,0.751941,1.003542,0.325493,0.750740,0.883706,0.323577,0.748070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-1.097654,0.323714,0.989058,-1.038773,0.323700,0.984460,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662881,0.349746,-0.297431,-0.920489,0.322644,0.975556,-0.582667,0.348355,-0.305037,-0.861017,0.321540,0.971880,-0.558107,0.363353,-0.545697,-0.503200,0.345536,-0.306883,-0.424745,0.344320,-0.312720,0.502264,0.345828,-0.100547,0.536144,0.354691,-0.340309,0.602882,0.347141,-0.105321,1.003109,0.329369,0.511664,1.122240,0.324657,0.753775,1.003430,0.325869,0.752474,0.883238,0.323807,0.750288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.160000,-1.098526,0.324182,0.988181,-1.038527,0.324125,0.984880,-0.995023,0.336555,0.743428,-0.979124,0.322757,0.980451,-0.662229,0.349938,-0.298649,-0.920537,0.322779,0.975451,-0.583101,0.347732,-0.301631,-0.859634,0.320682,0.973054,-0.558331,0.363597,-0.542793,-0.503396,0.345214,-0.306109,-0.424543,0.343979,-0.311920,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.002063,0.329506,0.512991,1.121818,0.324228,0.755098,1.002475,0.325394,0.754421,0.882450,0.323274,0.751938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-1.098500,0.324197,0.988120,-1.038553,0.323849,0.984513,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.663462,0.350116,-0.295491,-0.920537,0.322779,0.975451,-0.582685,0.348071,-0.300749,-0.859838,0.320874,0.972732,-0.558275,0.364033,-0.541581,-0.503204,0.345142,-0.305196,-0.423882,0.343890,-0.311402,0.502129,0.345840,-0.100493,0.536182,0.354661,-0.340282,0.602902,0.347313,-0.105248,1.001975,0.330173,0.515012,1.122458,0.323954,0.754813,,,,0.881562,0.323414,0.753921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
