Format Version,1.23,Take Name,Take 2024-01-17 05.41.54 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.41.54.836 PM,Capture Start Frame,13567938,Total Frames in Take,6078,Total Exported Frames,6078,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024
,ID,"C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3C10","C3C10","C3C10","C3C20","C3C20","C3C20","C3C40","C3C40","C3C40","C3C60","C3C60","C3C60","C3C70","C3C70","C3C70","C3C50","C3C50","C3C50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.838635,0.343674,-0.238415,-0.795037,0.357004,-0.500963,-0.781334,0.343694,-0.256598,-0.724169,0.345601,-0.273471,-0.668589,0.344268,-0.292929,-0.611160,0.342865,-0.309658,-0.360616,0.326440,0.998828,-0.350095,0.329441,0.880407,-0.341708,0.331691,0.757872,-0.112057,0.334833,0.897963,-0.034451,0.371595,-1.049371,0.185696,0.360670,-1.200641,0.197387,0.360801,-1.124148,0.207728,0.361396,-1.043259,0.218645,0.358587,-0.962416,1.090826,0.347135,-0.014591,1.111188,0.342062,0.229386,1.205627,0.337757,0.200031,,,,,,,,,,,,,,,
1,0.010000,-0.838683,0.343543,-0.238549,-0.794726,0.357119,-0.501115,-0.781334,0.343694,-0.256598,-0.725259,0.345423,-0.275427,-0.668589,0.344268,-0.292929,-0.611160,0.342865,-0.309658,-0.360536,0.326628,0.998702,-0.350095,0.329441,0.880407,-0.341865,0.331765,0.757761,-0.112099,0.334824,0.897891,-0.034735,0.371419,-1.049318,0.185696,0.360670,-1.200641,0.197381,0.359239,-1.121222,0.207049,0.359970,-1.043038,0.218969,0.359581,-0.963731,1.090248,0.346673,-0.012070,1.110971,0.342422,0.231833,1.205732,0.338915,0.201994,,,,,,,,,,,,,,,
2,0.020000,-0.838292,0.344229,-0.239446,-0.794549,0.357537,-0.501298,-0.781334,0.343694,-0.256598,-0.724006,0.346357,-0.273441,-0.668465,0.344259,-0.292856,-0.610810,0.342516,-0.309675,-0.360616,0.326440,0.998828,-0.350095,0.329441,0.880407,-0.341862,0.331810,0.757744,-0.112099,0.334824,0.897891,-0.034735,0.371419,-1.049318,0.185748,0.360621,-1.200641,0.197387,0.360801,-1.124148,0.208045,0.361605,-1.043411,0.219513,0.360395,-0.963254,1.089326,0.346027,-0.010078,1.109813,0.341059,0.233590,1.205596,0.339095,0.204030,,,,,,,,,,,,,,,
3,0.030000,-0.838120,0.344297,-0.239522,-0.794726,0.357119,-0.501115,-0.781334,0.343694,-0.256598,-0.724007,0.346018,-0.273452,-0.668224,0.344174,-0.292853,-0.610810,0.342516,-0.309675,-0.360616,0.326440,0.998828,-0.350095,0.329441,0.880407,-0.341904,0.331960,0.760490,-0.112099,0.334824,0.897891,-0.034451,0.371595,-1.049371,0.185972,0.360810,-1.200684,0.197498,0.359233,-1.121143,0.207700,0.361190,-1.043189,0.218969,0.359581,-0.963731,1.088756,0.346198,-0.008657,1.109726,0.341338,0.235653,1.203693,0.337489,0.206367,,,,,,,,,,,,,,,
4,0.040000,-0.838421,0.343736,-0.238550,-0.795013,0.356832,-0.500926,-0.781256,0.343968,-0.257279,-0.724169,0.345601,-0.273471,-0.668224,0.344174,-0.292853,-0.611160,0.342865,-0.309658,-0.360536,0.326628,0.998702,-0.350095,0.329441,0.880407,-0.341708,0.331691,0.757872,-0.112099,0.334824,0.897891,-0.034735,0.371419,-1.049318,0.186025,0.360763,-1.200685,0.197498,0.359233,-1.121143,0.207181,0.360057,-1.042840,0.218969,0.359581,-0.963731,1.089453,0.348103,-0.005609,1.109053,0.341065,0.237657,1.203452,0.338435,0.208454,,,,,,,,,,,,,,,
5,0.050000,-0.838120,0.344297,-0.239522,-0.794726,0.357119,-0.501115,-0.781334,0.343694,-0.256598,-0.724443,0.344911,-0.273698,-0.668224,0.344174,-0.292853,-0.611000,0.342689,-0.309853,-0.360428,0.326591,0.998670,-0.350095,0.329441,0.880407,-0.341956,0.331967,0.760410,-0.112099,0.334824,0.897891,-0.034735,0.371419,-1.049318,0.185721,0.360546,-1.199916,0.197502,0.359371,-1.121027,0.207700,0.361190,-1.043189,0.219496,0.360417,-0.963254,1.088670,0.347432,-0.003952,1.108615,0.341084,0.239530,1.197416,0.340850,0.208382,,,,,,,,,,,,,,,
