Format Version,1.23,Take Name,Take 2024-02-12 06.42.08 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.42.08.707 PM,Capture Start Frame,3701834,Total Frames in Take,6964,Total Exported Frames,6964,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 128,Active 128,Active 128,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023
,ID,"808D403B2A","808D403B2A","808D403B2A","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3660","C3660","C3660","C3670","C3670","C3670","C36B0","C36B0","C36B0","C36C0","C36C0","C36C0","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C36F0","C36F0","C36F0","C3700","C3700","C3700"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,-0.898044,0.348033,1.147956,-0.777769,0.345706,1.145850,-0.779109,0.351634,0.907927,-0.671606,0.363347,-0.659030,-0.658752,0.342482,1.146965,-0.646521,0.368957,-0.901440,-0.572688,0.362381,-0.668755,1.107759,0.334089,-0.961769,1.151461,0.327253,0.958741,1.168155,0.332912,-0.961982,1.225556,0.340895,-1.202055,1.227591,0.331090,-0.962633,1.231914,0.324855,0.961093,1.279782,0.335017,0.723640,1.286654,0.328621,-0.963009,1.311388,0.322550,0.964587,1.346623,0.326884,-0.962847,1.390561,0.319585,0.966688,,,,,,,,,,,,,,,,,,
1,0.010000,,,,-0.899059,0.347926,1.146412,-0.778774,0.345601,1.144416,-0.779676,0.351662,0.906468,-0.671584,0.363339,-0.659064,-0.659787,0.342532,1.145902,-0.646537,0.368939,-0.901458,-0.572697,0.362370,-0.668772,1.107748,0.334134,-0.961764,1.151434,0.327235,0.958731,1.168137,0.332945,-0.961985,1.225586,0.340949,-1.202041,1.227561,0.331077,-0.962640,1.231895,0.324895,0.961096,1.278912,0.333234,0.723361,1.286591,0.328586,-0.963014,1.311368,0.322529,0.964588,1.346582,0.326900,-0.962841,1.390532,0.319578,0.966700,,,,,,,,,,,,,,,,,,
2,0.020000,,,,-0.899956,0.347895,1.144606,-0.779689,0.345621,1.143011,-0.779955,0.351710,0.905026,-0.671587,0.363328,-0.659046,-0.660721,0.342522,1.144674,-0.646534,0.368967,-0.901494,-0.572695,0.362380,-0.668768,1.107755,0.334092,-0.961797,1.151421,0.327244,0.958745,1.168089,0.332994,-0.961987,1.225596,0.340977,-1.202054,1.227579,0.331169,-0.962615,1.231884,0.324872,0.961104,1.279744,0.335016,0.723645,1.286610,0.328660,-0.963019,1.311367,0.322560,0.964581,1.346574,0.326934,-0.962835,1.390504,0.319589,0.966681,,,,,,,,,,,,,,,,,,
3,0.030000,,,,-0.900899,0.347951,1.142831,-0.780625,0.345566,1.141502,-0.780418,0.351684,0.903542,-0.671578,0.363329,-0.659072,-0.661720,0.342529,1.143426,-0.646559,0.368933,-0.901464,-0.572690,0.362363,-0.668779,1.107733,0.334136,-0.961809,1.151405,0.327282,0.958742,1.168090,0.332995,-0.961983,1.225473,0.340799,-1.202115,1.227523,0.331088,-0.962663,1.231856,0.324867,0.961093,1.278887,0.333209,0.723327,1.286600,0.328624,-0.963027,1.311316,0.322565,0.964572,1.346583,0.326913,-0.962855,1.390496,0.319585,0.966651,,,,,,,,,,,,,,,,,,
4,0.040000,,,,-0.901684,0.347986,1.140893,-0.781372,0.345618,1.139794,-0.780671,0.351778,0.901751,-0.671589,0.363319,-0.659069,-0.662456,0.342644,1.141976,-0.646552,0.368946,-0.901476,-0.572685,0.362368,-0.668781,1.107734,0.334133,-0.961821,1.151384,0.327231,0.958706,1.168131,0.332933,-0.962026,1.225605,0.340937,-1.202089,1.227549,0.331082,-0.962684,1.231843,0.324899,0.961086,1.278884,0.333222,0.723311,1.286622,0.328657,-0.963054,1.311300,0.322555,0.964541,1.346586,0.326919,-0.962854,1.390443,0.319588,0.966653,,,,,,,,,,,,,,,,,,
5,0.050000,,,,-0.902184,0.348053,1.139030,-0.781824,0.345634,1.138096,-0.781021,0.351713,0.900149,-0.671579,0.363312,-0.659074,-0.662994,0.342596,1.140398,-0.646523,0.368947,-0.901501,-0.572484,0.362084,-0.668789,1.107780,0.334130,-0.961841,1.151392,0.327254,0.958694,1.168151,0.332917,-0.962043,1.225493,0.340791,-1.202168,1.227604,0.331113,-0.962706,1.231847,0.324895,0.961066,1.278904,0.333258,0.723315,1.286623,0.328631,-0.963073,1.311298,0.322573,0.964524,1.346618,0.326913,-0.962893,1.390450,0.319612,0.966645,,,,,,,,,,,,,,,,,,
