Format Version,1.23,Take Name,Take 2024-02-03 02.58.07 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-03 02.58.07.746 PM,Capture Start Frame,8478902,Total Frames in Take,4058,Total Exported Frames,4058,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1103,Unlabeled 1103,Unlabeled 1103,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1105,Unlabeled 1105,Unlabeled 1105,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1123,Unlabeled 1123,Unlabeled 1123,Unlabeled 1124,Unlabeled 1124,Unlabeled 1124,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125
,ID,"C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3680","C3680","C3680","C36B0","C36B0","C36B0","C36C0","C36C0","C36C0","C36A0","C36A0","C36A0","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C3660","C3660","C3660","C3700","C3700","C3700","C3710","C3710","C3710","C3750","C3750","C3750","C3740","C3740","C3740","C3730","C3730","C3730","C3720","C3720","C3720","C3790","C3790","C3790","C3770","C3770","C3770","C37A0","C37A0","C37A0","C37B0","C37B0","C37B0","C37D0","C37D0","C37D0","C37E0","C37E0","C37E0","C37F0","C37F0","C37F0","C3810","C3810","C3810","C3800","C3800","C3800","C37C0","C37C0","C37C0","C3830","C3830","C3830","C3850","C3850","C3850","C3820","C3820","C3820","C3840","C3840","C3840","C3880","C3880","C3880","C3890","C3890","C3890","C3860","C3860","C3860","C3870","C3870","C3870","C3780","C3780","C3780","C38B0","C38B0","C38B0","C38C0","C38C0","C38C0","C38E0","C38E0","C38E0","C38A0","C38A0","C38A0","C38D0","C38D0","C38D0","C3900","C3900","C3900","C3930","C3930","C3930","C3910","C3910","C3910","C3950","C3950","C3950","C38F0","C38F0","C38F0","C3920","C3920","C3920","C3960","C3960","C3960","C3990","C3990","C3990","C39D0","C39D0","C39D0","C3980","C3980","C3980","C39E0","C39E0","C39E0","C39C0","C39C0","C39C0","C39F0","C39F0","C39F0","C3A00","C3A00","C3A00","C3A10","C3A10","C3A10","C3A30","C3A30","C3A30","C3A40","C3A40","C3A40","C3A60","C3A60","C3A60","C3A50","C3A50","C3A50","C3AA0","C3AA0","C3AA0","C3AB0","C3AB0","C3AB0","C3AC0","C3AC0","C3AC0","C3AD0","C3AD0","C3AD0","C3AF0","C3AF0","C3AF0","C3AE0","C3AE0","C3AE0","C3A80","C3A80","C3A80","C3B10","C3B10","C3B10","C3B00","C3B00","C3B00","C3B40","C3B40","C3B40","C3B20","C3B20","C3B20","C3B50","C3B50","C3B50","C3B30","C3B30","C3B30","C3B60","C3B60","C3B60","C39A0","C39A0","C39A0","C3B80","C3B80","C3B80","C3B70","C3B70","C3B70","C3B90","C3B90","C3B90","C3BA0","C3BA0","C3BA0","C3BC0","C3BC0","C3BC0","C3BD0","C3BD0","C3BD0","C3BB0","C3BB0","C3BB0","C3BF0","C3BF0","C3BF0","C3C50","C3C50","C3C50","C3C10","C3C10","C3C10","C3C70","C3C70","C3C70","C3C30","C3C30","C3C30","C3CA0","C3CA0","C3CA0","C3C20","C3C20","C3C20","C3CC0","C3CC0","C3CC0","C3CD0","C3CD0","C3CD0","C3CE0","C3CE0","C3CE0","C3CF0","C3CF0","C3CF0","C3D00","C3D00","C3D00","C3C00","C3C00","C3C00","C3D20","C3D20","C3D20","C3D30","C3D30","C3D30","C3D40","C3D40","C3D40","C3D50","C3D50","C3D50","C3D60","C3D60","C3D60","C3D70","C3D70","C3D70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.010874,0.352933,-0.814725,-0.930969,0.352509,-0.818706,-0.907878,0.363735,-1.060081,-0.915351,0.329739,1.114060,-0.851450,0.349211,-0.822242,-0.858823,0.329803,1.114079,-0.775579,0.345813,-0.825543,-0.797019,0.339364,0.873535,-0.797082,0.330959,1.111858,-0.738238,0.328299,1.113181,-0.678112,0.328775,1.111999,0.624683,0.354450,-0.715295,0.667216,0.334471,1.029202,0.682287,0.359845,-0.952852,0.723764,0.353641,-0.711872,0.751878,0.336752,0.777412,0.779467,0.338133,1.011769,0.898526,0.336382,0.996952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-1.010641,0.353041,-0.813839,-0.930142,0.351840,-0.817717,-0.907593,0.363693,-1.059186,-0.915393,0.329760,1.114015,-0.850808,0.348891,-0.821163,-0.858761,0.329751,1.114033,-0.775528,0.345658,-0.824709,-0.797026,0.339347,0.873502,-0.797162,0.330990,1.111844,-0.738262,0.328293,1.113176,-0.678166,0.328755,1.112007,0.624665,0.354425,-0.715291,0.667218,0.334474,1.029202,0.682300,0.359872,-0.952840,0.723812,0.353718,-0.711851,0.751900,0.336776,0.777381,0.779491,0.338140,1.011776,0.898531,0.336316,0.996949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-1.010330,0.353178,-0.812905,-0.929336,0.351382,-0.816797,-0.907377,0.363684,-1.058460,-0.915374,0.329722,1.114003,-0.850700,0.349026,-0.820387,-0.858840,0.329835,1.114018,-0.775037,0.345750,-0.823799,-0.796995,0.339340,0.873485,-0.797150,0.330998,1.111834,-0.738264,0.328297,1.113159,-0.678127,0.328766,1.112004,0.624680,0.354447,-0.715283,0.667161,0.334447,1.029229,0.682295,0.359862,-0.952852,0.723765,0.353617,-0.711860,0.751885,0.336766,0.777408,0.779498,0.338106,1.011778,0.898429,0.336420,0.996949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-1.009822,0.353366,-0.811664,-0.929090,0.351443,-0.816074,-0.907388,0.363604,-1.057741,-0.915408,0.329764,1.113951,-0.850549,0.349098,-0.819685,-0.856708,0.331214,1.112445,-0.774251,0.346065,-0.822816,-0.796999,0.339372,0.873459,-0.797184,0.330996,1.111790,-0.738222,0.328275,1.113136,-0.678166,0.328743,1.111981,0.624660,0.354425,-0.715273,0.667158,0.334454,1.029197,0.682287,0.359875,-0.952828,0.723780,0.353692,-0.711850,0.751869,0.336708,0.777449,0.779363,0.338202,1.011700,0.898465,0.336395,0.996926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-1.009752,0.353402,-0.810878,-0.929039,0.351528,-0.815252,-0.907518,0.363519,-1.057024,-0.915398,0.329760,1.113934,-0.850192,0.348968,-0.818925,-0.858808,0.329768,1.113959,-0.774095,0.346050,-0.822170,-0.796916,0.339399,0.873418,-0.797135,0.330946,1.111822,-0.737789,0.329023,1.112602,-0.678132,0.328724,1.112000,0.624633,0.354432,-0.715275,0.667152,0.334462,1.029171,0.682273,0.359878,-0.952835,0.723802,0.353723,-0.711843,0.751874,0.336729,0.777393,0.779332,0.338181,1.011617,0.898426,0.336401,0.996960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-1.009701,0.353459,-0.809794,-0.929061,0.351554,-0.814406,-0.907747,0.363559,-1.056156,-0.915367,0.329751,1.113926,-0.850143,0.348927,-0.818257,-0.858805,0.329777,1.113970,-0.774261,0.345929,-0.821583,-0.800199,0.338141,0.873953,-0.797059,0.330931,1.111816,-0.738222,0.328291,1.113119,-0.678129,0.328777,1.111971,0.624633,0.354399,-0.715273,0.667116,0.334427,1.029167,0.682265,0.359868,-0.952846,0.723773,0.353700,-0.711859,0.751926,0.336741,0.777350,0.779355,0.338177,1.011607,0.898420,0.336400,0.996931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
