Format Version,1.23,Take Name,Take 2024-02-12 06.38.41 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.38.42.291 PM,Capture Start Frame,3681191,Total Frames in Take,6043,Total Exported Frames,6043,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033
,ID,"C3AF0","C3AF0","C3AF0","C3B20","C3B20","C3B20","C42D0","C42D0","C42D0","C42E0","C42E0","C42E0","C42F0","C42F0","C42F0","C4310","C4310","C4310","C4320","C4320","C4320","C4330","C4330","C4330","C4340","C4340","C4340","C4350","C4350","C4350","C4360","C4360","C4360","C4370","C4370","C4370","C4380","C4380","C4380","C4390","C4390","C4390","C43A0","C43A0","C43A0","C43B0","C43B0","C43B0","C43C0","C43C0","C43C0","C43D0","C43D0","C43D0","C4410","C4410","C4410","C4420","C4420","C4420","C4460","C4460","C4460","C4480","C4480","C4480","C44A0","C44A0","C44A0","C4490","C4490","C4490","C44B0","C44B0","C44B0","C44E0","C44E0","C44E0","C44D0","C44D0","C44D0","C44C0","C44C0","C44C0","C44F0","C44F0","C44F0","C4520","C4520","C4520","C4530","C4530","C4530"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.031420,0.339505,1.073025,-0.087535,0.340482,1.059021,-0.814420,0.366254,-0.511570,-0.877742,0.362028,-0.276306,-0.778279,0.359832,-0.269877,0.060557,0.345259,0.836340,0.149709,0.337857,1.089163,1.169260,0.329460,-0.610222,1.168325,0.326444,0.832279,1.228992,0.328381,-0.617400,1.247829,0.325005,0.844470,1.258141,0.336640,-0.862841,1.288036,0.326264,-0.624845,1.322132,0.333705,0.613272,1.325482,0.320606,0.856386,1.346799,0.324245,-0.632295,1.404624,0.319272,0.868428,1.406624,0.322477,-0.639211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,0.031434,0.339526,1.073015,-0.087512,0.340520,1.058988,-0.813955,0.365876,-0.510223,-0.877489,0.362001,-0.274822,-0.778150,0.359863,-0.268608,0.060592,0.345259,0.836332,0.149728,0.337863,1.089155,1.169282,0.329463,-0.610200,1.168325,0.326438,0.832269,1.229011,0.328404,-0.617382,1.247846,0.325018,0.844450,1.258137,0.336629,-0.862834,1.288049,0.326236,-0.624815,1.322141,0.333694,0.613262,1.324951,0.320247,0.855496,1.346807,0.324258,-0.632286,1.404642,0.319274,0.868436,1.406651,0.322495,-0.639240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,0.031434,0.339518,1.073040,-0.087481,0.340476,1.059033,-0.813801,0.365860,-0.508813,-0.877266,0.362005,-0.273442,-0.777770,0.359903,-0.267227,0.060602,0.345268,0.836334,0.149725,0.337862,1.089193,1.169269,0.329462,-0.610185,1.169318,0.328504,0.832803,1.228995,0.328405,-0.617373,1.247854,0.325024,0.844450,1.258120,0.336638,-0.862802,1.288046,0.326239,-0.624798,1.322161,0.333698,0.613240,1.325478,0.320570,0.856361,1.346810,0.324257,-0.632279,1.404650,0.319284,0.868424,1.406616,0.322508,-0.639219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,0.031435,0.339528,1.073076,-0.087530,0.340523,1.059021,-0.813599,0.365865,-0.507257,-0.876984,0.361879,-0.272026,-0.777430,0.359834,-0.265798,0.060581,0.345277,0.836332,0.149726,0.337866,1.089204,1.169232,0.329458,-0.610172,1.168320,0.326413,0.832242,1.228963,0.328396,-0.617348,1.247868,0.325042,0.844438,1.258081,0.336637,-0.862782,1.288004,0.326224,-0.624790,1.322166,0.333672,0.613248,1.325519,0.320595,0.856354,1.346756,0.324244,-0.632245,1.404653,0.319303,0.868400,1.406605,0.322478,-0.639208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,0.031426,0.339533,1.073045,-0.087525,0.340487,1.059056,-0.813324,0.365973,-0.505758,-0.876847,0.361948,-0.270459,-0.777171,0.359727,-0.264247,0.060559,0.345274,0.836359,0.149714,0.337866,1.089198,1.169197,0.329479,-0.610158,1.168357,0.326442,0.832252,1.228921,0.328406,-0.617343,1.247948,0.325080,0.844476,1.258068,0.336682,-0.862764,1.287953,0.326217,-0.624780,1.322178,0.333695,0.613243,1.325017,0.320252,0.855520,1.346740,0.324267,-0.632225,1.404695,0.319296,0.868412,1.406557,0.322493,-0.639189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,0.031493,0.339138,1.073481,-0.087548,0.340512,1.059043,-0.812963,0.365892,-0.504247,-0.876462,0.362017,-0.268698,-0.776750,0.359738,-0.262664,0.060541,0.345264,0.836363,0.149679,0.337863,1.089189,1.169147,0.329474,-0.610182,1.168380,0.326432,0.832259,1.228838,0.328396,-0.617356,1.247934,0.325021,0.844474,1.257464,0.337088,-0.863319,1.287912,0.326217,-0.624791,1.322204,0.333705,0.613251,1.325542,0.320578,0.856363,1.346689,0.324250,-0.632230,1.404713,0.319311,0.868413,1.406502,0.322504,-0.639182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.060000,0.031395,0.339512,1.073059,-0.087562,0.340515,1.059046,-0.812626,0.365993,-0.502526,-0.875997,0.362012,-0.267120,-0.776245,0.359603,-0.261134,0.060522,0.345271,0.836374,0.149672,0.337874,1.089192,1.169095,0.329474,-0.610184,1.168396,0.326408,0.832246,1.228780,0.328405,-0.617343,1.247994,0.325027,0.844476,1.258002,0.336635,-0.862750,1.287854,0.326202,-0.624749,1.322221,0.333727,0.613251,1.325564,0.320577,0.856354,1.346648,0.324271,-0.632215,1.404726,0.319294,0.868411,1.406460,0.322498,-0.639142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,0.031303,0.339559,1.073027,-0.087578,0.340512,1.059008,-0.811982,0.365994,-0.501059,-0.874971,0.361760,-0.265549,-0.775665,0.360010,-0.259431,0.060523,0.345278,0.836344,0.149654,0.337862,1.089180,1.169036,0.329472,-0.610167,1.168413,0.326434,0.832255,1.228744,0.328412,-0.617346,1.248020,0.325058,0.844484,1.258017,0.336631,-0.862762,1.287827,0.326218,-0.624795,1.322235,0.333696,0.613273,1.325563,0.320554,0.856371,1.346580,0.324344,-0.632170,1.404754,0.319289,0.868426,1.406412,0.322505,-0.639145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,0.031339,0.339583,1.073024,-0.087602,0.340509,1.059024,-0.811501,0.366344,-0.499447,-0.874172,0.361888,-0.263996,-0.775001,0.359962,-0.257942,0.060501,0.345247,0.836370,0.149649,0.337882,1.089210,1.168964,0.329418,-0.610246,1.168414,0.326454,0.832269,1.228736,0.328444,-0.617360,1.248000,0.325003,0.844501,1.258011,0.336660,-0.862769,1.287763,0.326197,-0.624761,1.322249,0.333710,0.613280,1.325588,0.320585,0.856358,1.346553,0.324329,-0.632174,1.404742,0.319300,0.868419,1.406368,0.322516,-0.639126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,0.031323,0.339591,1.073015,-0.087593,0.340500,1.059018,-0.810360,0.365819,-0.497838,-0.873376,0.361873,-0.262226,-0.773895,0.359637,-0.256219,0.060518,0.345248,0.836354,0.149625,0.337856,1.089200,1.168906,0.329384,-0.610274,1.168420,0.326441,0.832278,1.228702,0.328425,-0.617363,1.248003,0.325036,0.844478,1.257987,0.336620,-0.862778,1.287761,0.326199,-0.624770,1.322233,0.333688,0.613286,1.325575,0.320584,0.856381,1.346544,0.324348,-0.632166,1.404743,0.319306,0.868427,1.406347,0.322507,-0.639100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,0.031334,0.339576,1.073019,-0.087585,0.340517,1.058982,-0.809889,0.365885,-0.496117,-0.872741,0.361843,-0.260565,-0.773183,0.359623,-0.254633,0.060531,0.345275,0.836370,0.149631,0.337882,1.089195,1.168928,0.329416,-0.610286,1.168397,0.326416,0.832268,1.228712,0.328410,-0.617367,1.248003,0.325024,0.844503,1.258040,0.336667,-0.862791,1.287768,0.326186,-0.624789,1.322262,0.333703,0.613309,1.325547,0.320540,0.856371,1.346557,0.324346,-0.632177,1.404731,0.319294,0.868436,1.406382,0.322529,-0.639124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
