Format Version,1.23,Take Name,Take 2024-02-12 06.50.51 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.50.51.571 PM,Capture Start Frame,3754123,Total Frames in Take,6048,Total Exported Frames,6048,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059
,ID,"C36F0","C36F0","C36F0","C3710","C3710","C3710","C3750","C3750","C3750","C3760","C3760","C3760","C3810","C3810","C3810","C3860","C3860","C3860","C38C0","C38C0","C38C0","C38D0","C38D0","C38D0","C3900","C3900","C3900","C39B0","C39B0","C39B0","C39C0","C39C0","C39C0","C39E0","C39E0","C39E0","C3A90","C3A90","C3A90","C3B10","C3B10","C3B10","C3B20","C3B20","C3B20","C3B40","C3B40","C3B40","C3B50","C3B50","C3B50","C3B60","C3B60","C3B60","C3B70","C3B70","C3B70","C3B80","C3B80","C3B80","C3B90","C3B90","C3B90","C3BB0","C3BB0","C3BB0","C3BA0","C3BA0","C3BA0","C3BC0","C3BC0","C3BC0","C3BD0","C3BD0","C3BD0","C3BF0","C3BF0","C3BF0","C3BE0","C3BE0","C3BE0","C3C20","C3C20","C3C20","C3C30","C3C30","C3C30","C3C40","C3C40","C3C40","C3C70","C3C70","C3C70","C3C10","C3C10","C3C10","C3C50","C3C50","C3C50","C3C80","C3C80","C3C80","C3CA0","C3CA0","C3CA0","C3CC0","C3CC0","C3CC0","C3CB0","C3CB0","C3CB0","C3C00","C3C00","C3C00","C3CE0","C3CE0","C3CE0","C3CD0","C3CD0","C3CD0","C3D10","C3D10","C3D10","C3D20","C3D20","C3D20","C3D00","C3D00","C3D00","C3CF0","C3CF0","C3CF0","C3D40","C3D40","C3D40","C3D60","C3D60","C3D60","C3D80","C3D80","C3D80","C3D50","C3D50","C3D50","C3D90","C3D90","C3D90","C3D70","C3D70","C3D70","C3DB0","C3DB0","C3DB0","C3DA0","C3DA0","C3DA0","C3DF0","C3DF0","C3DF0","C3E00","C3E00","C3E00","C3DE0","C3DE0","C3DE0","C3E10","C3E10","C3E10","C3E20","C3E20","C3E20","C3E30","C3E30","C3E30"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.345843,0.322021,1.383556,1.229138,0.331690,1.143447,1.226630,0.324596,1.381684,1.107851,0.326876,1.381007,-0.607610,0.336815,1.160426,-0.687538,0.338796,1.161411,-0.847542,0.344335,1.160735,-0.726831,0.352537,0.920329,-0.766951,0.342106,1.160591,1.293684,0.339162,-0.439142,1.195286,0.342443,-0.430646,1.222780,0.344382,-0.674887,-0.432257,0.343942,-0.378404,-0.566191,0.356422,-0.609501,-0.491188,0.345202,-0.374094,-0.550260,0.346247,-0.370472,-0.610500,0.347696,-0.366803,-0.669519,0.347413,-0.362803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,1.345827,0.321969,1.383481,1.229116,0.331661,1.143411,1.226638,0.324601,1.381665,1.107857,0.326882,1.380965,-0.607615,0.336834,1.160397,-0.687558,0.338801,1.161411,-0.847529,0.344314,1.160751,-0.726833,0.352526,0.920306,-0.766936,0.342108,1.160602,1.293845,0.338838,-0.437486,1.195166,0.342360,-0.429465,1.222291,0.344019,-0.673740,-0.432187,0.344410,-0.378074,-0.566232,0.356414,-0.609484,-0.491205,0.345205,-0.374109,-0.550321,0.346323,-0.370398,-0.607598,0.345623,-0.367340,-0.669520,0.347411,-0.362776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,1.345820,0.321948,1.383463,1.229124,0.331701,1.143405,1.226599,0.324518,1.381594,1.107863,0.326894,1.380967,-0.607611,0.336836,1.160390,-0.687536,0.338814,1.161399,-0.847510,0.344327,1.160741,-0.726829,0.352507,0.920306,-0.766930,0.342083,1.160593,1.293235,0.339033,-0.436500,1.194835,0.342251,-0.428071,1.221429,0.344585,-0.672310,-0.432181,0.344391,-0.378043,-0.566237,0.356402,-0.609473,-0.491207,0.345181,-0.374093,-0.550295,0.346268,-0.370442,-0.609693,0.346642,-0.366684,-0.669538,0.347407,-0.362773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,1.345834,0.322026,1.383517,1.229131,0.331686,1.143409,1.226602,0.324579,1.381640,1.107843,0.326861,1.380900,-0.607578,0.336850,1.160352,-0.687490,0.338797,1.161394,-0.847522,0.344340,1.160724,-0.726815,0.352523,0.920299,-0.766899,0.342093,1.160596,1.292856,0.338842,-0.435104,1.194417,0.341926,-0.426456,1.221567,0.343858,-0.670981,-0.432183,0.344390,-0.378042,-0.566286,0.356418,-0.609465,-0.491244,0.345212,-0.374083,-0.550337,0.346304,-0.370376,-0.610517,0.347688,-0.366761,-0.669542,0.347412,-0.362749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,1.345835,0.321976,1.383484,1.229125,0.331727,1.143438,1.226594,0.324570,1.381614,1.107835,0.326864,1.380919,-0.607533,0.336826,1.160349,-0.687482,0.338808,1.161383,-0.847497,0.344324,1.160731,-0.726831,0.352526,0.920272,-0.766847,0.342068,1.160575,1.292607,0.338964,-0.433581,1.194389,0.342071,-0.424840,1.221088,0.344089,-0.669424,-0.432311,0.343947,-0.378392,-0.566284,0.356445,-0.609441,-0.491224,0.345187,-0.374081,-0.550370,0.346319,-0.370394,-0.607609,0.345582,-0.367327,-0.669574,0.347434,-0.362727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,1.345810,0.321955,1.383456,1.229132,0.331663,1.143386,1.226617,0.324585,1.381643,1.107829,0.326886,1.380927,-0.607487,0.336845,1.160349,-0.687405,0.338803,1.161353,-0.847432,0.344318,1.160753,-0.726804,0.352548,0.920279,-0.766805,0.342085,1.160575,1.292175,0.339085,-0.431920,1.193945,0.342345,-0.423060,1.220203,0.343974,-0.667696,-0.432346,0.343889,-0.378365,-0.566308,0.356411,-0.609454,-0.491259,0.345200,-0.374087,-0.550338,0.346291,-0.370439,-0.607631,0.345576,-0.367355,-0.669602,0.347386,-0.362769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
