Format Version,1.23,Take Name,Take 2024-02-12 07.43.43 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 07.43.44.252 PM,Capture Start Frame,4071412,Total Frames in Take,4244,Total Exported Frames,4244,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018
,ID,"C3B40","C3B40","C3B40","C3B50","C3B50","C3B50","C3BD0","C3BD0","C3BD0","C3D90","C3D90","C3D90","C3E30","C3E30","C3E30","C3EA0","C3EA0","C3EA0","C3EC0","C3EC0","C3EC0","C3ED0","C3ED0","C3ED0","C3F70","C3F70","C3F70","C3F80","C3F80","C3F80","C3F90","C3F90","C3F90","C3FB0","C3FB0","C3FB0","C3FC0","C3FC0","C3FC0","C3FD0","C3FD0","C3FD0","C3FE0","C3FE0","C3FE0","C3FF0","C3FF0","C3FF0","C4000","C4000","C4000","C40D0","C40D0","C40D0","C4120","C4120","C4120"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.666265,0.362131,-0.646088,0.674895,0.328584,0.873701,-0.765560,0.363325,-0.637798,-0.738273,0.370139,-0.879717,-0.729474,0.338216,1.126546,-0.837961,0.354213,0.880769,-0.809044,0.341148,1.123232,-0.888390,0.344401,1.119315,-0.968823,0.347301,1.115734,0.736953,0.335966,0.613918,0.852922,0.339383,-0.557073,0.965086,0.343331,-0.799273,0.970777,0.337087,-0.561302,1.092147,0.336221,-0.563866,0.791257,0.326699,0.846915,0.848099,0.323558,0.833705,0.733658,0.328349,0.860682,0.906201,0.322155,0.820619,,,
1,0.010000,-0.666500,0.361947,-0.644277,0.674923,0.328584,0.873742,-0.766125,0.363539,-0.636040,-0.738430,0.370257,-0.878262,-0.729410,0.338231,1.126519,-0.837941,0.354218,0.880766,-0.809044,0.341161,1.123249,-0.888350,0.344366,1.119331,-0.968834,0.347330,1.115721,0.736660,0.336255,0.613935,0.852357,0.339477,-0.557826,0.963074,0.342980,-0.801472,0.971516,0.337514,-0.560969,1.091600,0.336179,-0.564597,0.791245,0.326732,0.846952,0.848106,0.323576,0.833716,0.733609,0.328369,0.860732,0.906197,0.322105,0.820679,,,
2,0.020000,-0.666829,0.361790,-0.642908,0.674859,0.328572,0.873731,-0.766143,0.363297,-0.635077,-0.738787,0.369545,-0.877341,-0.729139,0.338109,1.126333,-0.837953,0.354237,0.880779,-0.808996,0.341129,1.123246,-0.888344,0.344398,1.119316,-0.968801,0.347303,1.115745,0.736642,0.336234,0.613940,0.851634,0.339281,-0.558883,0.962450,0.343069,-0.802394,0.969103,0.336991,-0.563763,1.090941,0.336252,-0.565685,0.791219,0.326725,0.846947,0.848097,0.323591,0.833714,0.733557,0.328390,0.860716,0.906159,0.322108,0.820666,,,
3,0.030000,-0.667461,0.361903,-0.641837,0.674629,0.328445,0.873834,-0.766496,0.363559,-0.633517,-0.738766,0.369732,-0.876186,-0.729371,0.338232,1.126515,-0.837672,0.354226,0.880970,-0.808888,0.340990,1.123358,-0.888318,0.344451,1.119274,-0.968770,0.347273,1.115754,0.736899,0.335989,0.613957,0.850878,0.339309,-0.560155,0.962016,0.343399,-0.803282,0.970021,0.337427,-0.563311,1.090077,0.336114,-0.567199,0.791158,0.326677,0.846958,0.848075,0.323614,0.833738,0.733561,0.328393,0.860728,0.906132,0.322136,0.820693,,,
4,0.040000,-0.667416,0.361920,-0.640821,0.674590,0.328430,0.873825,-0.766541,0.363556,-0.632228,-0.738466,0.370075,-0.874581,-0.729326,0.338198,1.126532,-0.837665,0.354211,0.880968,-0.808867,0.340986,1.123368,-0.888305,0.344441,1.119286,-0.968764,0.347311,1.115734,0.736639,0.336264,0.613917,0.850112,0.339497,-0.561798,0.961909,0.343343,-0.804053,0.969141,0.337376,-0.565013,1.089240,0.336185,-0.568805,0.791152,0.326688,0.846956,0.848035,0.323617,0.833736,0.733467,0.328351,0.860683,0.906142,0.322162,0.820715,,,
5,0.050000,-0.667454,0.361979,-0.639911,0.674572,0.328435,0.873816,-0.766410,0.363359,-0.631581,-0.738527,0.370189,-0.873614,-0.729112,0.338102,1.126352,-0.837883,0.354211,0.880793,-0.808930,0.341137,1.123254,-0.888287,0.344400,1.119348,-0.968727,0.347304,1.115753,0.736644,0.336279,0.613905,0.849358,0.339632,-0.563421,0.959770,0.342886,-0.807261,0.968390,0.337444,-0.566615,1.088381,0.336282,-0.570523,0.791164,0.326697,0.846940,0.848069,0.323615,0.833730,0.733445,0.328360,0.860666,0.906124,0.322110,0.820713,,,
