Format Version,1.23,Take Name,Take 2024-02-12 08.12.12 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 08.12.13.068 PM,Capture Start Frame,4242300,Total Frames in Take,6100,Total Exported Frames,6100,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040
,ID,"C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3610","C3610","C3610","C3740","C3740","C3740","C3750","C3750","C3750","C37B0","C37B0","C37B0","C37C0","C37C0","C37C0","C3690","C3690","C3690","C37D0","C37D0","C37D0","C37E0","C37E0","C37E0","C37F0","C37F0","C37F0","C36A0","C36A0","C36A0","C3810","C3810","C3810","C3800","C3800","C3800","C3840","C3840","C3840","C3860","C3860","C3860","C3870","C3870","C3870","C3880","C3880","C3880","C3890","C3890","C3890","C38A0","C38A0","C38A0","C38B0","C38B0","C38B0","C38D0","C38D0","C38D0","C38E0","C38E0","C38E0","C3910","C3910","C3910","C3920","C3920","C3920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.607786,0.341529,1.147610,-0.527538,0.339474,1.143600,-0.499535,0.349957,0.901909,-0.448076,0.336969,1.140064,-0.321717,0.360775,-0.466621,-0.368352,0.335263,1.135664,-0.294239,0.365733,-0.709303,-0.222509,0.359193,-0.475651,0.763869,0.326245,0.840911,0.872606,0.334011,0.597408,1.065663,0.338110,-0.652753,1.149030,0.341990,-0.906503,1.183056,0.335799,-0.670258,1.301515,0.332671,-0.687069,0.824015,0.325857,0.838851,0.942144,0.323369,0.834578,1.001592,0.322414,0.832726,0.881339,0.323901,0.836503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-0.607764,0.341508,1.147627,-0.527542,0.339504,1.143608,-0.499552,0.349932,0.901913,-0.448063,0.336925,1.140102,-0.321133,0.360787,-0.465053,-0.368357,0.335279,1.135692,-0.293647,0.365724,-0.707540,-0.222013,0.359050,-0.474070,0.763890,0.326230,0.840905,0.872658,0.334038,0.597385,1.065671,0.338117,-0.652725,1.149068,0.342002,-0.906505,1.183087,0.335822,-0.670235,1.301512,0.332664,-0.687050,0.824053,0.325865,0.838865,0.942307,0.323585,0.834482,1.001642,0.322430,0.832729,0.881536,0.323683,0.836544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-0.607796,0.341543,1.147646,-0.527544,0.339489,1.143641,-0.499531,0.349965,0.901920,-0.448081,0.336956,1.140124,-0.320563,0.360783,-0.463245,-0.368342,0.335303,1.135692,-0.292942,0.365707,-0.705835,-0.221293,0.359108,-0.472241,0.763895,0.326211,0.840900,0.872642,0.333984,0.597393,1.065665,0.338114,-0.652698,1.149013,0.341981,-0.906474,1.183069,0.335800,-0.670215,1.301518,0.332663,-0.687028,0.824055,0.325857,0.838890,0.942323,0.323491,0.834513,1.001662,0.322394,0.832733,,,,0.915792,0.369823,0.865128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-0.607828,0.341554,1.147633,-0.527578,0.339492,1.143618,-0.499554,0.349960,0.901952,-0.448087,0.336951,1.140156,-0.319921,0.360796,-0.461572,-0.368366,0.335291,1.135720,-0.292200,0.365691,-0.704033,-0.220590,0.359104,-0.470459,0.763918,0.326219,0.840907,0.872701,0.334000,0.597409,1.065608,0.338085,-0.652631,1.148996,0.342007,-0.906457,1.183081,0.335830,-0.670181,1.301493,0.332642,-0.687025,0.824078,0.325850,0.838877,0.942388,0.323567,0.834496,1.001670,0.322425,0.832737,0.881635,0.323749,0.836553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-0.607830,0.341526,1.147667,-0.527586,0.339463,1.143653,-0.499613,0.350007,0.901918,-0.448100,0.336955,1.140145,-0.319156,0.360839,-0.459978,-0.368368,0.335287,1.135725,-0.291306,0.365614,-0.702394,-0.219946,0.358908,-0.468710,0.763929,0.326212,0.840930,0.872748,0.334035,0.597434,1.065336,0.338411,-0.652951,1.148999,0.341998,-0.906459,1.183061,0.335807,-0.670203,1.301502,0.332671,-0.687036,0.824115,0.325880,0.838873,0.942376,0.323528,0.834531,1.001716,0.322409,0.832736,0.881644,0.323757,0.836578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-0.607858,0.341550,1.147648,-0.527606,0.339484,1.143655,-0.499625,0.349980,0.901926,-0.448157,0.336949,1.140134,-0.318562,0.360856,-0.458369,-0.368418,0.335276,1.135733,-0.290609,0.365580,-0.700916,-0.218884,0.359187,-0.467054,0.763940,0.326230,0.840947,0.872706,0.334018,0.597458,1.065309,0.338403,-0.652968,1.149280,0.344404,-0.906980,1.183043,0.335810,-0.670199,1.301482,0.332669,-0.687016,0.824113,0.325854,0.838896,0.942408,0.323589,0.834540,1.001697,0.322401,0.832750,0.881623,0.323725,0.836586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
