Format Version,1.23,Take Name,Take 2024-02-12 07.55.11 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 07.55.11.621 PM,Capture Start Frame,4140152,Total Frames in Take,6045,Total Exported Frames,6045,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 1024,Active 1024,Active 1024,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026
,ID,"4008D403B2A","4008D403B2A","4008D403B2A","C36C0","C36C0","C36C0","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C36F0","C36F0","C36F0","C3700","C3700","C3700","C3710","C3710","C3710","C3720","C3720","C3720","C3730","C3730","C3730","C3740","C3740","C3740","C3750","C3750","C3750","C3760","C3760","C3760","C3770","C3770","C3770","C3780","C3780","C3780","C38B0","C38B0","C38B0","C38E0","C38E0","C38E0","C3900","C3900","C3900","C3950","C3950","C3950","C3960","C3960","C3960","C3980","C3980","C3980","C3990","C3990","C3990","C39A0","C39A0","C39A0","C3970","C3970","C3970","C39B0","C39B0","C39B0","C39D0","C39D0","C39D0","C39E0","C39E0","C39E0","C39F0","C39F0","C39F0","C3A00","C3A00","C3A00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,-0.581248,0.368622,-0.794532,-0.546742,0.360860,-0.552835,-0.570755,0.342542,0.831447,-0.490722,0.340998,0.830900,-0.645802,0.361445,-0.559888,-0.451662,0.351930,0.591053,-0.411080,0.338181,0.831315,-0.331566,0.336156,0.831163,1.037283,0.333520,0.314601,1.101426,0.338098,-0.591018,1.218992,0.340113,-0.830879,1.220805,0.334523,-0.591703,1.340521,0.331363,-0.592257,0.909555,0.325109,0.548366,1.146426,0.322406,0.559699,0.969203,0.324497,0.551137,1.087492,0.323240,0.556649,1.027494,0.324383,0.553817,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,,,,-0.581256,0.368135,-0.792876,-0.546469,0.360807,-0.551308,-0.570737,0.342539,0.831442,-0.490683,0.340983,0.830881,-0.646079,0.361899,-0.558147,-0.451644,0.351923,0.591058,-0.411050,0.338183,0.831306,-0.331530,0.336159,0.831119,1.037328,0.333542,0.314587,1.100837,0.338048,-0.589915,1.218519,0.340297,-0.829627,1.220220,0.334579,-0.590418,1.340008,0.331413,-0.591082,0.909598,0.325120,0.548380,1.146452,0.322415,0.559681,0.969245,0.324462,0.551164,1.087499,0.323222,0.556649,1.027530,0.324360,0.553826,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,,,,-0.580895,0.368241,-0.791835,-0.546262,0.360815,-0.549831,-0.570699,0.342553,0.831444,-0.490674,0.340983,0.830892,-0.645755,0.361986,-0.556888,-0.451614,0.351916,0.591044,-0.411021,0.338185,0.831304,-0.331505,0.336126,0.831131,1.037351,0.333546,0.314596,1.100319,0.338139,-0.588546,1.218253,0.340439,-0.828027,1.219379,0.334406,-0.588922,1.339288,0.331293,-0.589597,0.909605,0.325139,0.548357,1.146448,0.322382,0.559707,0.969240,0.324493,0.551165,1.087488,0.323168,0.556653,1.027532,0.324408,0.553807,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,,,,-0.580500,0.368205,-0.790767,-0.546527,0.360548,-0.548817,-0.570658,0.342569,0.831451,-0.490653,0.340986,0.830868,-0.645683,0.362076,-0.555836,-0.451634,0.351921,0.591102,-0.410967,0.338181,0.831306,-0.331487,0.336133,0.831127,1.037360,0.333557,0.314611,1.099811,0.338282,-0.587256,1.217114,0.340425,-0.827379,1.218889,0.334581,-0.587581,1.338570,0.331252,-0.587974,0.909609,0.325104,0.548374,1.146268,0.322277,0.559759,0.969245,0.324494,0.551178,1.087500,0.323197,0.556659,1.027527,0.324322,0.553820,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,,,,-0.580192,0.368167,-0.789672,-0.546521,0.360603,-0.547916,-0.570640,0.342543,0.831446,-0.490591,0.341028,0.830856,-0.645943,0.362327,-0.554760,-0.451586,0.351920,0.591063,-0.410961,0.338205,0.831310,-0.331439,0.336139,0.831125,1.037354,0.333543,0.314619,1.099127,0.338140,-0.585953,1.217512,0.340302,-0.825280,1.218471,0.334557,-0.586104,1.337849,0.331708,-0.586695,0.909615,0.325122,0.548374,1.146279,0.322311,0.559774,0.969207,0.324472,0.551197,1.087503,0.323189,0.556669,1.027521,0.324290,0.553847,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,,,,-0.580402,0.368471,-0.788740,-0.546493,0.360657,-0.546830,-0.570686,0.342563,0.831449,-0.490621,0.340988,0.830875,-0.645980,0.362282,-0.553855,-0.451572,0.351927,0.591066,-0.410957,0.338185,0.831302,-0.331413,0.336143,0.831139,1.037335,0.333537,0.314630,1.098690,0.338054,-0.584537,1.217135,0.340354,-0.824009,1.218108,0.334556,-0.584772,1.337866,0.331567,-0.585170,0.909625,0.325141,0.548413,1.146476,0.322401,0.559736,0.969249,0.324478,0.551199,1.087503,0.323177,0.556682,1.027544,0.324353,0.553877,,,,,,,,,,,,,,,,,,,,,,,,,,,
