Format Version,1.23,Take Name,Take 2024-02-12 08.07.56 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 08.07.56.850 PM,Capture Start Frame,4216677,Total Frames in Take,6109,Total Exported Frames,6109,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024
,ID,"C37A0","C37A0","C37A0","C3870","C3870","C3870","C38C0","C38C0","C38C0","C39C0","C39C0","C39C0","C3A50","C3A50","C3A50","C3A60","C3A60","C3A60","C3B80","C3B80","C3B80","C3BD0","C3BD0","C3BD0","C3C00","C3C00","C3C00","C3C80","C3C80","C3C80","C3CE0","C3CE0","C3CE0","C3CF0","C3CF0","C3CF0","C3D40","C3D40","C3D40","C3D50","C3D50","C3D50","C3D60","C3D60","C3D60","C3D80","C3D80","C3D80","C3DA0","C3DA0","C3DA0","C3DC0","C3DC0","C3DC0","C3DF0","C3DF0","C3DF0","C3E10","C3E10","C3E10","C3E20","C3E20","C3E20","C3E30","C3E30","C3E30","C3E40","C3E40","C3E40","C3E50","C3E50","C3E50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.070543,0.337558,-0.733408,-0.424762,0.352364,0.510723,-0.312514,0.336302,0.754688,0.938125,0.332390,0.664185,0.951521,0.339158,-0.730729,1.063763,0.343862,-0.973419,-0.375844,0.360767,-0.545111,-0.276298,0.359398,-0.547950,-0.333149,0.366186,-0.785397,-0.551813,0.343111,0.747063,-0.392223,0.338281,0.752484,-0.471461,0.341022,0.749279,1.014531,0.322689,0.921131,0.897759,0.325109,0.899773,0.839930,0.325686,0.889694,0.956759,0.323270,0.910304,1.190335,0.336206,-0.735599,0.780164,0.325413,0.879376,,,,,,,,,,,,,,,,,,
1,0.010000,1.070148,0.337596,-0.731757,-0.424806,0.352406,0.510727,-0.312537,0.336294,0.754680,0.938092,0.332369,0.664189,0.949914,0.338960,-0.730433,1.062880,0.344023,-0.972060,-0.375859,0.360774,-0.545111,-0.276225,0.359408,-0.547997,-0.333105,0.366190,-0.785397,-0.551838,0.343123,0.747058,-0.392265,0.338284,0.752469,-0.471514,0.341021,0.749300,1.014500,0.322666,0.921130,0.897711,0.325065,0.899754,0.839931,0.325712,0.889684,0.956731,0.323272,0.910294,1.190039,0.336145,-0.734327,0.780144,0.325411,0.879337,,,,,,,,,,,,,,,,,,
2,0.020000,1.069831,0.337530,-0.730486,-0.424797,0.352397,0.510710,-0.312553,0.336295,0.754692,0.938089,0.332393,0.664175,0.950493,0.339568,-0.727840,1.062217,0.344011,-0.970758,-0.375836,0.360777,-0.545129,-0.276223,0.359411,-0.548005,-0.333155,0.366154,-0.785398,-0.551863,0.343109,0.747070,-0.392263,0.338297,0.752468,-0.471572,0.341015,0.749293,1.014486,0.322678,0.921104,0.897684,0.325042,0.899742,0.839903,0.325695,0.889681,0.956731,0.323259,0.910289,1.189734,0.336177,-0.733263,0.780141,0.325385,0.879338,,,,,,,,,,,,,,,,,,
3,0.030000,1.069519,0.337669,-0.729095,-0.424724,0.352378,0.510733,-0.312558,0.336282,0.754689,0.938102,0.332395,0.664168,0.950295,0.339586,-0.726294,1.063240,0.343586,-0.968069,-0.375794,0.360743,-0.545144,-0.276258,0.359441,-0.548000,-0.333116,0.366197,-0.785404,-0.551876,0.343114,0.747079,-0.392290,0.338279,0.752486,-0.471557,0.341023,0.749275,1.014487,0.322688,0.921105,0.897730,0.325081,0.899741,0.839865,0.325683,0.889664,0.956738,0.323255,0.910268,1.189482,0.336418,-0.731995,0.780143,0.325401,0.879314,,,,,,,,,,,,,,,,,,
4,0.040000,1.069139,0.337517,-0.727777,-0.424777,0.352415,0.510743,-0.312584,0.336281,0.754715,0.938092,0.332375,0.664149,0.949170,0.338961,-0.725897,1.063053,0.343563,-0.966725,-0.375812,0.360777,-0.545114,-0.276213,0.359408,-0.548015,-0.333100,0.366182,-0.785413,-0.551899,0.343130,0.747092,-0.392299,0.338286,0.752476,-0.471536,0.341004,0.749320,1.014480,0.322675,0.921099,0.897744,0.325106,0.899727,0.839885,0.325668,0.889643,0.956757,0.323283,0.910260,1.189030,0.336243,-0.730578,0.780102,0.325366,0.879362,,,,,,,,,,,,,,,,,,
5,0.050000,1.067255,0.337168,-0.727836,-0.424776,0.352397,0.510730,-0.312564,0.336307,0.754668,0.938106,0.332397,0.664155,0.949420,0.339307,-0.723511,1.062093,0.343767,-0.965784,-0.375811,0.360762,-0.545125,-0.276202,0.359406,-0.548020,-0.333120,0.366144,-0.785414,-0.551843,0.343090,0.747097,-0.392280,0.338289,0.752479,-0.471550,0.341009,0.749293,1.014523,0.322684,0.921077,0.897742,0.325097,0.899736,0.839904,0.325690,0.889676,0.956752,0.323282,0.910247,1.188522,0.336131,-0.728996,0.780113,0.325370,0.879353,,,,,,,,,,,,,,,,,,
