Format Version,1.23,Take Name,Take 2024-02-12 06.35.34 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.35.34.960 PM,Capture Start Frame,3662457,Total Frames in Take,6263,Total Exported Frames,6263,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033
,ID,"C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3660","C3660","C3660","C3640","C3640","C3640","C3630","C3630","C3630","C3670","C3670","C3670","C3680","C3680","C3680","C3690","C3690","C3690","C36B0","C36B0","C36B0","C36D0","C36D0","C36D0","C36C0","C36C0","C36C0","C36F0","C36F0","C36F0","C3700","C3700","C3700","C36E0","C36E0","C36E0","C3730","C3730","C3730","C3720","C3720","C3720","C36A0","C36A0","C36A0","C3740","C3740","C3740","C3710","C3710","C3710","C3750","C3750","C3750"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.033880,0.331651,0.886703,-0.999816,0.362157,-0.709259,-0.895272,0.367140,-0.954880,-0.879864,0.358935,-0.716673,-0.761180,0.356722,-0.723599,-0.616416,0.341482,1.081239,-0.536204,0.339746,1.081508,-0.494268,0.350709,0.841704,-0.456688,0.337230,1.083019,-0.376942,0.335301,1.082756,0.598846,0.348617,-0.417987,0.653234,0.351725,-0.656114,0.698145,0.346760,-0.416543,0.935129,0.323678,1.134213,1.052454,0.321877,1.124023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,1.033901,0.331652,0.886698,-0.999819,0.362167,-0.709273,-0.895287,0.367184,-0.954897,-0.879870,0.358926,-0.716715,-0.761190,0.356743,-0.723560,-0.616395,0.341474,1.081221,-0.536206,0.339776,1.081481,-0.494262,0.350657,0.841674,-0.456673,0.337223,1.083006,-0.376900,0.335322,1.082733,0.597950,0.349254,-0.416634,0.650952,0.350815,-0.654442,0.696852,0.346970,-0.414828,0.935102,0.323693,1.134174,1.052410,0.321846,1.124076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,1.033882,0.331642,0.886683,-0.999803,0.362134,-0.709287,-0.895265,0.367135,-0.954896,-0.879881,0.358942,-0.716719,-0.761191,0.356723,-0.723585,-0.616364,0.341481,1.081198,-0.536174,0.339767,1.081497,-0.494228,0.350679,0.841674,-0.456615,0.337243,1.082993,-0.376918,0.335314,1.082740,0.596743,0.349320,-0.414975,0.651015,0.351968,-0.652409,0.695738,0.346888,-0.413049,0.935100,0.323675,1.134181,1.052439,0.321852,1.124027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,1.033908,0.331640,0.886649,-0.999822,0.362148,-0.709300,-0.895272,0.367187,-0.954915,-0.879897,0.358935,-0.716726,-0.761409,0.357082,-0.723802,-0.616340,0.341486,1.081213,-0.536113,0.339729,1.081565,-0.494203,0.350679,0.841677,-0.456610,0.337223,1.082984,-0.376867,0.335306,1.082738,0.594755,0.348737,-0.413477,0.649902,0.352115,-0.650755,0.694908,0.346940,-0.411366,0.935159,0.323704,1.134168,1.052450,0.321859,1.123967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,1.033917,0.331640,0.886650,-0.999816,0.362127,-0.709284,-0.895260,0.367182,-0.954931,-0.879890,0.358953,-0.716723,-0.761386,0.357066,-0.723817,-0.616327,0.341457,1.081210,-0.536137,0.339767,1.081488,-0.494220,0.350689,0.841665,-0.456597,0.337237,1.082979,-0.376862,0.335304,1.082741,0.595111,0.349241,-0.411141,0.648621,0.353041,-0.649439,0.694239,0.346610,-0.409363,0.935131,0.323700,1.134120,1.052480,0.321875,1.123988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,1.033964,0.331645,0.886625,-0.999794,0.362163,-0.709295,-0.895262,0.367168,-0.954939,-0.879865,0.358925,-0.716738,-0.761178,0.356717,-0.723716,-0.616328,0.341469,1.081227,-0.536043,0.339751,1.081609,-0.494187,0.350699,0.841684,-0.456585,0.337237,1.082987,-0.376846,0.335301,1.082736,0.592634,0.348722,-0.409483,0.647915,0.352130,-0.646775,0.692729,0.347017,-0.407569,0.935190,0.323686,1.134154,1.052483,0.321864,1.123972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
