Format Version,1.23,Take Name,Take 2023-11-20 04.27.26 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-11-20 04.27.26.998 PM,Capture Start Frame,5908434,Total Frames in Take,2840,Total Exported Frames,2840,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035
,ID,"C3510","C3510","C3510","C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.358526,0.379643,1.673200,-1.121918,0.380288,1.726608,-1.100251,0.368642,-0.312857,-1.098776,0.370251,-0.382210,-1.097323,0.371159,-0.461800,-1.096525,0.371744,-0.532186,-0.859025,0.372286,-0.419000,1.199702,0.370511,1.992939,1.202706,0.371044,1.833384,1.203343,0.370109,1.773291,1.243019,0.359543,-0.463617,1.243974,0.360550,-0.354385,1.244938,0.360163,-0.244680,1.440937,0.370725,1.887819,1.483899,0.359178,-0.355928,-1.362996,0.380284,1.752468,1.201369,0.371056,1.932742,1.202311,0.371733,1.883368
1,0.010000,-1.358529,0.379654,1.673197,-1.121923,0.380288,1.726589,-1.100283,0.368636,-0.312866,-1.098768,0.370218,-0.382215,-1.097324,0.371174,-0.461796,-1.096523,0.371729,-0.532187,-0.859015,0.372299,-0.419007,1.199708,0.370518,1.992967,1.202696,0.371003,1.833388,1.203375,0.370103,1.773284,1.243028,0.359540,-0.463636,1.243958,0.360568,-0.354356,1.244938,0.360170,-0.244657,1.440950,0.370725,1.887802,1.483892,0.359171,-0.355917,-1.363043,0.380352,1.752417,1.201383,0.371050,1.932761,1.202324,0.371725,1.883380
2,0.020000,-1.358536,0.379659,1.673218,-1.121927,0.380317,1.726588,-1.100296,0.368622,-0.312870,-1.098776,0.370238,-0.382229,-1.097309,0.371156,-0.461805,-1.096542,0.371767,-0.532206,-0.859031,0.372280,-0.419011,1.199752,0.370539,1.992972,1.202727,0.371040,1.833381,1.203364,0.370114,1.773309,1.242999,0.359516,-0.463631,1.243935,0.360558,-0.354358,1.244944,0.360179,-0.244655,1.440925,0.370733,1.887826,1.483886,0.359161,-0.355930,-1.363028,0.380319,1.752446,1.201382,0.371065,1.932773,1.202339,0.371743,1.883384
3,0.030000,-1.358536,0.379649,1.673209,-1.121929,0.380332,1.726574,-1.100287,0.368624,-0.312857,-1.098742,0.370261,-0.382221,-1.097329,0.371167,-0.461810,-1.096542,0.371747,-0.532188,-0.859039,0.372283,-0.419003,1.199726,0.370491,1.992965,1.202721,0.371039,1.833390,1.203362,0.370090,1.773305,1.243000,0.359536,-0.463611,1.243934,0.360579,-0.354346,1.244924,0.360150,-0.244663,1.440964,0.370759,1.887818,1.483885,0.359169,-0.355940,-1.363012,0.380299,1.752458,1.201395,0.371075,1.932766,1.202323,0.371729,1.883391
4,0.040000,-1.358533,0.379654,1.673231,-1.121937,0.380294,1.726601,-1.100293,0.368639,-0.312854,-1.098772,0.370245,-0.382227,-1.097345,0.371183,-0.461813,-1.096555,0.371724,-0.532184,-0.859025,0.372291,-0.419007,1.199739,0.370529,1.992976,1.202737,0.371052,1.833377,1.203374,0.370121,1.773308,1.242992,0.359512,-0.463622,1.243935,0.360590,-0.354344,1.244921,0.360147,-0.244659,1.440964,0.370741,1.887822,1.483871,0.359159,-0.355947,-1.363016,0.380304,1.752469,1.201402,0.371095,1.932793,1.202353,0.371770,1.883378
5,0.050000,-1.358531,0.379643,1.673202,-1.121930,0.380322,1.726609,-1.100295,0.368644,-0.312850,-1.098772,0.370246,-0.382225,-1.097340,0.371177,-0.461802,-1.096564,0.371764,-0.532188,-0.859067,0.372281,-0.419012,1.199725,0.370478,1.992952,1.202731,0.371026,1.833387,1.203420,0.370130,1.773285,1.242968,0.359505,-0.463619,1.243936,0.360583,-0.354344,1.244907,0.360141,-0.244671,1.440982,0.370757,1.887826,1.483875,0.359156,-0.355923,-1.363002,0.380323,1.752467,1.201372,0.371037,1.932779,1.202316,0.371727,1.883369
